Email Address,FirstName LastName,depature_time,departure_city,destination city,arrival_time,package weight,cost,user_rating
Dalia_Windsor1927450756@joiniaa.com,Dalia Windsor,11/25/8339 9:00 PM,Jersey City,Orlando,2/12/8342 2:53 PM,7.51502298075474,68,2
Katelyn_Gregory1015670840@hourpy.biz,Katelyn Gregory,1/1/7297 5:02 PM,Norfolk,Tallahassee,6/10/7202 12:52 PM,12.6171666405244,33,1
Daria_Gilmore878290366@brety.org,Daria Gilmore,5/30/2643 12:09 AM,Phoenix,Quebec,4/11/5862 10:22 AM,3.3193675527905,24,3
Jessica_Brooks284941408@eirey.tech,Jessica Brooks,11/7/0381 11:31 AM,Venice,Sacramento,2/1/2951 7:06 PM,1.91747325701521,42,2
Rowan_Hunter1833032334@gmail.com,Rowan Hunter,11/7/3740 12:22 PM,Long Beach,Baltimore,5/9/7156 3:26 PM,14.5152182520904,20,3
Alexander_Harper1910246826@sveldo.biz,Alexander Harper,3/11/2094 6:22 AM,Madison,Stockton,4/10/3260 7:47 PM,1.92002922572197,10,1
Alison_Ranks728759556@vetan.org,Alison Ranks,4/24/1929 2:13 AM,Detroit,Charlotte,8/21/3978 7:55 PM,5.74498516681836,42,1
Javier_Driscoll1388315602@deavo.com,Javier Driscoll,7/3/9196 3:00 PM,Berlin,Pittsburgh,6/14/3623 12:42 AM,9.33576048320893,32,4
Roger_Miller650378205@womeona.net,Roger Miller,2/6/5316 4:04 AM,London,Sacramento,11/6/5233 5:43 AM,11.7087148272939,18,2
Harvey_Lindop1018412283@jiman.org,Harvey Lindop,10/8/3211 7:28 AM,Phoenix,San Jose,5/22/4754 7:02 PM,6.47149957459024,52,2
Tony_Pitt231389285@qater.org,Tony Pitt,1/5/6281 7:22 AM,Fremont,Stockton,9/21/1606 4:22 PM,16.2256585649334,99,2
Jack_Thorne1617404113@fuliss.net,Jack Thorne,8/12/3905 8:53 PM,Chicago,Indianapolis,1/25/3813 9:04 AM,16.9538752604061,30,4
Kurt_Powell492599210@dionrab.com,Kurt Powell,12/11/8524 5:30 PM,Bakersfield,Berlin,4/16/2128 12:21 PM,12.7267260466361,39,2
Cara_Robinson1604884065@dionrab.com,Cara Robinson,2/25/8991 12:14 AM,Ontario,Valetta,12/26/5623 10:35 PM,7.80325197279605,99,3
Charlotte_Dale1916107305@eirey.tech,Charlotte Dale,12/10/8071 8:16 PM,Lisbon,Washington,2/6/4324 1:29 PM,6.42417882449188,18,4
Felicity_Walsh2013916097@nickia.com,Felicity Walsh,12/25/4411 5:31 AM,Lancaster,Albuquerque,8/6/9735 7:38 AM,4.22359269821252,40,3
Ron_Jones1626550779@gembat.biz,Ron Jones,8/25/2275 8:38 AM,Fayetteville,Springfield,10/16/2608 9:17 PM,12.6851373569505,33,3
